id,active,name,category,type,min_grade,min_duration,description
1182,0,"Técnico em Ludoteca","Desenvolvimento Educacional e Social","Tecnico",,,
1183,0,"Técnico em Multimeios Didáticos","Desenvolvimento Educacional e Social","Tecnico",,,
1184,0,"Técnico em Oritentação Comunitária","Desenvolvimento Educacional e Social","Tecnico",,,
1185,0,"Técnico em Produção de Materiais Didáticos Bilíngüe em Libras/Língua Portuguesa","Desenvolvimento Educacional e Social","Tecnico",,,
1186,0,"Técnico em Secretaria Escolar","Desenvolvimento Educacional e Social","Tecnico",,,
1187,0,"Técnico em Agente Comunitário de Saúde","Ambiente e Saúde","Tecnico",,,
1188,0,"Técnico em Análises Clínicas","Ambiente e Saúde","Tecnico",,,
1189,0,"Técnico em Biotecnologia","Ambiente e Saúde","Tecnico",,,
1190,0,"Técnico em Citopatologia","Ambiente e Saúde","Tecnico",,,
1191,0,"Técnico em Controle Ambiental","Ambiente e Saúde","Tecnico",,,
1192,0,"Técnico em Cuidados de Idosos","Ambiente e Saúde","Tecnico",,,
1193,0,"Técnico em Enfermagem","Ambiente e Saúde","Tecnico",,,
1194,0,"Técnico em Equipamentos Biomédicos","Ambiente e Saúde","Tecnico",,,
1195,0,"Técnico em Estética","Ambiente e Saúde","Tecnico",,,
1196,0,"Técnico em Farmácia","Ambiente e Saúde","Tecnico",,,
1197,0,"Técnico em Gerência em Saúde","Ambiente e Saúde","Tecnico",,,
1198,0,"Técnico em Hemoterapia","Ambiente e Saúde","Tecnico",,,
1199,0,"Técnico em Saúde Bucal","Ambiente e Saúde","Tecnico",,,
1200,0,"Técnico em Imagem Pessoal","Ambiente e Saúde","Tecnico",,,
1201,0,"Técnico em Imobilizações Ortopédicas","Ambiente e Saúde","Tecnico",,,
1202,0,"Técnico em Massoterapia","Ambiente e Saúde","Tecnico",,,
1203,0,"Técnico em Meio Ambiente","Ambiente e Saúde","Tecnico",,,
1204,0,"Técnico em Meteorologia","Ambiente e Saúde","Tecnico",,,
1205,0,"Técnico em Necropsia","Ambiente e Saúde","Tecnico",,,
1206,0,"Técnico em Nutrição e Dietética","Ambiente e Saúde","Tecnico",,,
1207,0,"Técnico em Óptica","Ambiente e Saúde","Tecnico",,,
1208,0,"Técnico em Órteses e Próteses","Ambiente e Saúde","Tecnico",,,
1209,0,"Técnico em Podologia","Ambiente e Saúde","Tecnico",,,
1210,0,"Técnico em Prótese Dentária","Ambiente e Saúde","Tecnico",,,
1211,0,"Técnico em Radiologia","Ambiente e Saúde","Tecnico",,,
1212,0,"Técnico em Reabilitação de Dependentes Químicos","Ambiente e Saúde","Tecnico",,,
1213,0,"Técnico em Reciclagem","Ambiente e Saúde","Tecnico",,,
1214,0,"Técnico em Registros e Informações em Saúde","Ambiente e Saúde","Tecnico",,,
1215,0,"Técnico em Segurança do Trabalho","Ambiente e Saúde","Tecnico",,,
1216,0,"Técnico em Vigilância em Saúde","Ambiente e Saúde","Tecnico",,,
1217,0,"Técnico em Tradução e Interpretação de Libras","Desenvolvimento Educacional e Social","Tecnico",,,
1218,0,"Técnico em Treinamento de Cães-Guia","Desenvolvimento Educacional e Social","Tecnico",,,
1219,0,"Técnico em Defesa Civil","Segurança","Tecnico",,,
1220,0,"Técnico em Segurança do Trabalho","Segurança","Tecnico",,,
1221,0,"Acabador de Calçados","Produção Industrial","FIC","Ensino Fundamental Completo","160","Coloca solados, fixa saltos e palmilha calçados, limpa e lustra calçados. Revisa numeração, tonalidade, costuras e colagem de calçados, registrando ocorrências de falhas e defeitos. Prepara calçados para expedição."
1222,0,"Açaicultor","Recursos Naturais","FIC","Ensino Fundamental I Incompleto","160","Explora os açaizais em sistemas de produção sustentável. Compreende a cadeia de produção e as políticas públicas de comercialização do açaí. "
1223,0,"Aconselhador em Dependência Química","Ambiente e Saúde","FIC","Ensino Médio Incompleto","240","Atua no âmbito da comunidade, do trabalho, da educação, da saúde e da assistência social nas situações referentes à dependência química, contribuindo, assim, para melhorar as condições de vida e tratamento dos dependentes e família."
